measure,sex,age group,age units,disease,aliases,prevalence
Prevalence,Female,0-6 days,D,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Female,7-27 days,D,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Female,1-5 months,M,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Female,6-11 months,M,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Female,12-23 months,M,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Female,2-4 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Female,5-9 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Female,10-14 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Female,15-19 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.03%
Prevalence,Female,20-24 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.11%
Prevalence,Female,25-29 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.24%
Prevalence,Female,30-34 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.39%
Prevalence,Female,35-39 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.47%
Prevalence,Female,40-44 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.53%
Prevalence,Female,45-49 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.54%
Prevalence,Female,50-54 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.53%
Prevalence,Female,55-59 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.51%
Prevalence,Female,60-64 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.45%
Prevalence,Female,65-69 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.35%
Prevalence,Female,70-74 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.23%
Prevalence,Female,75-79 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.15%
Prevalence,Female,80-84 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.04%
Prevalence,Female,85-89 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.04%
Prevalence,Female,90-94 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.04%
Prevalence,Female,95+ years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.04%
Prevalence,Male,0-6 days,D,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Male,7-27 days,D,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Male,1-5 months,M,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.01%
Prevalence,Male,6-11 months,M,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.01%
Prevalence,Male,12-23 months,M,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Male,2-4 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Male,5-9 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Male,10-14 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.00%
Prevalence,Male,15-19 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.03%
Prevalence,Male,20-24 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.18%
Prevalence,Male,25-29 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.53%
Prevalence,Male,30-34 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",0.85%
Prevalence,Male,35-39 years,Y,HIV/AIDS resulting in other diseases,"AIDS-defining illnesses, Opportunistic infections, HIV-associated diseases, HIV-related complications",1.01%
