measure,sex,age id,age group,disease id,disease,percent
Prevalence,Female,1,0-6 days,300,HIV/AIDS resulting in other diseases,3.63E-09
Prevalence,Female,2,7-27 days,300,HIV/AIDS resulting in other diseases,4.59E-05
Prevalence,Female,3,1-5 months,300,HIV/AIDS resulting in other diseases,4.87E-05
Prevalence,Female,4,6-11 months,300,HIV/AIDS resulting in other diseases,4.73E-05
Prevalence,Female,5,12-23 months,300,HIV/AIDS resulting in other diseases,4.47E-05
Prevalence,Female,6,2-4 years,300,HIV/AIDS resulting in other diseases,3.43E-05
Prevalence,Female,7,5-9 years,300,HIV/AIDS resulting in other diseases,2.81E-05
Prevalence,Female,8,10-14 years,300,HIV/AIDS resulting in other diseases,1.81E-05
Prevalence,Female,9,15-19 years,300,HIV/AIDS resulting in other diseases,0.000255274
Prevalence,Female,10,20-24 years,300,HIV/AIDS resulting in other diseases,0.001062401
Prevalence,Female,11,25-29 years,300,HIV/AIDS resulting in other diseases,0.002428345
Prevalence,Female,12,30-34 years,300,HIV/AIDS resulting in other diseases,0.003861673
Prevalence,Female,13,35-39 years,300,HIV/AIDS resulting in other diseases,0.004696272
Prevalence,Female,14,40-44 years,300,HIV/AIDS resulting in other diseases,0.005256536
Prevalence,Female,15,45-49 years,300,HIV/AIDS resulting in other diseases,0.005442826
Prevalence,Female,16,50-54 years,300,HIV/AIDS resulting in other diseases,0.005286637
Prevalence,Female,17,55-59 years,300,HIV/AIDS resulting in other diseases,0.005097764
Prevalence,Female,18,60-64 years,300,HIV/AIDS resulting in other diseases,0.004464676
Prevalence,Female,19,65-69 years,300,HIV/AIDS resulting in other diseases,0.003487713
Prevalence,Female,20,70-74 years,300,HIV/AIDS resulting in other diseases,0.002283563
Prevalence,Female,21,75-79 years,300,HIV/AIDS resulting in other diseases,0.001471268
Prevalence,Female,30,80-84 years,300,HIV/AIDS resulting in other diseases,0.000387196
Prevalence,Female,31,85-89 years,300,HIV/AIDS resulting in other diseases,0.000385819
Prevalence,Female,32,90-94 years,300,HIV/AIDS resulting in other diseases,0.000384838
Prevalence,Female,235,95+ years,300,HIV/AIDS resulting in other diseases,0.00038931
Prevalence,Male,1,0-6 days,300,HIV/AIDS resulting in other diseases,3.42E-09
Prevalence,Male,2,7-27 days,300,HIV/AIDS resulting in other diseases,4.98E-05
Prevalence,Male,3,1-5 months,300,HIV/AIDS resulting in other diseases,5.48E-05
Prevalence,Male,4,6-11 months,300,HIV/AIDS resulting in other diseases,5.29E-05
Prevalence,Male,5,12-23 months,300,HIV/AIDS resulting in other diseases,4.84E-05
Prevalence,Male,6,2-4 years,300,HIV/AIDS resulting in other diseases,3.49E-05
Prevalence,Male,7,5-9 years,300,HIV/AIDS resulting in other diseases,2.87E-05
Prevalence,Male,8,10-14 years,300,HIV/AIDS resulting in other diseases,1.92E-05
Prevalence,Male,9,15-19 years,300,HIV/AIDS resulting in other diseases,0.000290962
Prevalence,Male,10,20-24 years,300,HIV/AIDS resulting in other diseases,0.0018141
Prevalence,Male,11,25-29 years,300,HIV/AIDS resulting in other diseases,0.005263547
Prevalence,Male,12,30-34 years,300,HIV/AIDS resulting in other diseases,0.008548114
Prevalence,Male,13,35-39 years,300,HIV/AIDS resulting in other diseases,0.0101088
Prevalence,Male,14,40-44 years,300,HIV/AIDS resulting in other diseases,0.011194707
Prevalence,Male,15,45-49 years,300,HIV/AIDS resulting in other diseases,0.012126234
Prevalence,Male,16,50-54 years,300,HIV/AIDS resulting in other diseases,0.01397918
Prevalence,Male,17,55-59 years,300,HIV/AIDS resulting in other diseases,0.016832935
Prevalence,Male,18,60-64 years,300,HIV/AIDS resulting in other diseases,0.016810194
Prevalence,Male,19,65-69 years,300,HIV/AIDS resulting in other diseases,0.014333225
Prevalence,Male,20,70-74 years,300,HIV/AIDS resulting in other diseases,0.010045242
Prevalence,Male,21,75-79 years,300,HIV/AIDS resulting in other diseases,0.006679975
Prevalence,Male,30,80-84 years,300,HIV/AIDS resulting in other diseases,0.001734551
Prevalence,Male,31,85-89 years,300,HIV/AIDS resulting in other diseases,0.001741308
Prevalence,Male,32,90-94 years,300,HIV/AIDS resulting in other diseases,0.001746861
Prevalence,Male,235,95+ years,300,HIV/AIDS resulting in other diseases,0.001773387
Prevalence,Female,1,0-6 days,302,Diarrheal diseases,0.00124416
Prevalence,Female,2,7-27 days,302,Diarrheal diseases,0.002746072
Prevalence,Female,3,1-5 months,302,Diarrheal diseases,0.002931629
Prevalence,Female,4,6-11 months,302,Diarrheal diseases,0.00185028
Prevalence,Female,5,12-23 months,302,Diarrheal diseases,0.000673095
Prevalence,Female,6,2-4 years,302,Diarrheal diseases,0.00019971
Prevalence,Female,7,5-9 years,302,Diarrheal diseases,5.84E-05
Prevalence,Female,8,10-14 years,302,Diarrheal diseases,3.00E-05
Prevalence,Female,9,15-19 years,302,Diarrheal diseases,2.45E-05
Prevalence,Female,10,20-24 years,302,Diarrheal diseases,2.54E-05
Prevalence,Female,11,25-29 years,302,Diarrheal diseases,3.21E-05
Prevalence,Female,12,30-34 years,302,Diarrheal diseases,3.93E-05
Prevalence,Female,13,35-39 years,302,Diarrheal diseases,4.65E-05
Prevalence,Female,14,40-44 years,302,Diarrheal diseases,5.40E-05
Prevalence,Female,15,45-49 years,302,Diarrheal diseases,6.20E-05
Prevalence,Female,16,50-54 years,302,Diarrheal diseases,7.12E-05
Prevalence,Female,17,55-59 years,302,Diarrheal diseases,8.11E-05
Prevalence,Female,18,60-64 years,302,Diarrheal diseases,0.000140411
Prevalence,Female,19,65-69 years,302,Diarrheal diseases,0.000263297
Prevalence,Female,20,70-74 years,302,Diarrheal diseases,0.000385481
Prevalence,Female,21,75-79 years,302,Diarrheal diseases,0.000505643
Prevalence,Female,30,80-84 years,302,Diarrheal diseases,0.000607393
Prevalence,Female,31,85-89 years,302,Diarrheal diseases,0.000682561
Prevalence,Female,32,90-94 years,302,Diarrheal diseases,0.000760792
Prevalence,Female,235,95+ years,302,Diarrheal diseases,0.000843312
Prevalence,Male,1,0-6 days,302,Diarrheal diseases,0.001390874
Prevalence,Male,2,7-27 days,302,Diarrheal diseases,0.002623289
Prevalence,Male,3,1-5 months,302,Diarrheal diseases,0.002902692
Prevalence,Male,4,6-11 months,302,Diarrheal diseases,0.001873357
